end,item1,item2,item3,item4,lvl,name,server,sex,special_features1,special_features2,special_features3,special_features4,special_features5,start,status_auction,tc,vocation
"Aug 30 2020, 21:30 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",112,Tidys,Luminera,Male,108 Distance Fighting (Loyalty bonus not included),112 Level,,,,"Aug 28 2020, 10:08 CEST",Sold,501,Paladin
"Aug 30 2020, 22:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",35,Postrzelam Sobie,Talera,Male,Monsters in Bestiary completed: 0,Character World Transfer available,15 Magic Level (Loyalty bonus not included),121 Distance Fighting (Loyalty bonus not included),111 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:11 CEST",Sold,3001,Paladin
"Aug 30 2020, 22:00 CEST","""a slime gobbler""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",107,Licus Zard,Peloria,Male,48 Achievement Points,Character World Transfer available,69 Magic Level (Loyalty bonus not included),107 Level,6 Quests completed,"Aug 27 2020, 10:07 CEST",Sold,254,Master Sorcerer
"Aug 30 2020, 22:00 CEST","""a demon helmet""","""ornate legs""","""a prismatic armor""","""an axe of destruction""",216,Rema Cztery,Bona,Male,1664x a supreme health potion (Store Item),Daily Reward Streak: 95/7,101 Sword Fighting (Loyalty bonus not included),109 Axe Fighting (Loyalty bonus not included),,"Aug 28 2020, 10:07 CEST",Not Sold,2000,Elite Knight
"Aug 30 2020, 22:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",98,Skilldopai,Astera,Male,,,,,,"Aug 29 2020, 10:09 CEST",Sold,103,Druid
"Aug 30 2020, 22:00 CEST","""a crown armor""","""a crown helmet""","""a crown shield""","""the justice seeker""",99,Gloomy pirate,Estela,Female,109 Sword Fighting (Loyalty bonus not included),101 Shielding (Loyalty bonus not included),Character World Transfer available,19 Achievement Points,"Blessings active: 5/7, Twist of Fate active: yes","Aug 28 2020, 10:06 CEST",Sold,807,Elite Knight
"Aug 30 2020, 22:00 CEST","595x ""a strong mana potion""","""boots of haste""","""a demon helmet""","""a mastermind shield""",81,Ep Xura Vita,Vita,Female,120x an ultimate mana potion (Store Item),"Achievement ""Natural Born Cowboy"" accomplished","Achievement ""Seasoned Adventurer"" accomplished","Total Charm Points 25, Unused Charm Points: 25",Character World Transfer available,"Aug 29 2020, 10:06 CEST",Sold,221,Master Sorcerer
"Aug 30 2020, 22:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",55,Hunter Lozano,Nefera,Male,104 Shielding (Loyalty bonus not included),12 Magic Level (Loyalty bonus not included),114 Distance Fighting (Loyalty bonus not included),,,"Aug 29 2020, 10:09 CEST",Sold,500,Royal Paladin
"Aug 30 2020, 22:00 CEST","""a master archer's armor""","""a whacking driller of fate""","""a mycological bow""","""a rift crossbow""",224,Miyake de Luka,Quelibra,Female,1200x an ultimate spirit potion (Store Item),2x a training bow (Store Item),118 Distance Fighting (Loyalty bonus not included),Unlocked Powerful Imbuements: 3,106 Shielding (Loyalty bonus not included),"Aug 28 2020, 10:13 CEST",Sold,2251,Royal Paladin
"Aug 30 2020, 22:00 CEST","""a backpack of holding""","""a yalahari mask""","""a wand of defiance""","""a Zaoan chess box""",195,Iron Xardas,Vunira,Male,150 Achievement Points,"Blessings active: 5/7, Twist of Fate active: yes",Character World Transfer available,77 Magic Level (Loyalty bonus not included),195 Level,"Aug 29 2020, 10:08 CEST",Sold,1251,Master Sorcerer
"Aug 30 2020, 22:00 CEST","""dwarven legs""","""a pair of soft boots""","""a squeezing gear of girlpower""","""a Zaoan chess box""",154,Litrao Diskol,Kalibra,Male,1152x an ultimate mana potion (Store Item),76 Magic Level (Loyalty bonus not included),"Blessings active: 7/7, Twist of Fate active: no","Total Charm Points 965, Unused Charm Points: 165",Character World Transfer available,"Aug 29 2020, 10:10 CEST",Sold,261,Elder Druid
"Aug 30 2020, 22:00 CEST","""a stonecutter axe""","""dwarven legs""","""a Zaoan helmet""","""an ornate shield""",175,Whiirlwind Axeflyer,Lutabra,Male,84 Achievement Points,100 Axe Fighting (Loyalty bonus not included),97 Shielding (Loyalty bonus not included),175 Level,9 Magic Level (Loyalty bonus not included),"Aug 29 2020, 10:12 CEST",Sold,552,Knight
"Aug 30 2020, 22:00 CEST","""a prismatic helmet""","""a prismatic armor""","""a prismatic shield""","""a shiny blade""",216,Uldo Devor,Lobera,Male,Character World Transfer available,116 Achievement Points,9 Magic Level (Loyalty bonus not included),216 Level,12 Quests completed,"Aug 29 2020, 10:13 CEST",Sold,1000,Elite Knight
"Aug 30 2020, 22:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",31,Darksiders Bolt,Calmera,Female,123 Distance Fighting (Loyalty bonus not included),113 Shielding (Loyalty bonus not included),,,,"Aug 28 2020, 10:08 CEST",Sold,2001,Paladin
"Aug 30 2020, 22:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",214,Weetforspeed,Peloria,Male,76 Magic Level (Loyalty bonus not included),"Achievement ""Gnomelike"" accomplished","Achievement ""Hive War Veteran"" accomplished","Achievement ""Way of the Shaman"" accomplished","Achievement ""Skull and Bones"" accomplished","Aug 28 2020, 10:07 CEST",Sold,2003,Druid
"Aug 30 2020, 22:00 CEST","39x ""a great mana potion""","""a demon shield""","""a crest of the deep seas""","""void boots""",264,Deathgods,Firmera,Male,Character World Transfer available,Store Outfits: 1,223 Achievement Points,Store Mounts: 1,86 Magic Level (Loyalty bonus not included),"Aug 28 2020, 10:09 CEST",Not Sold,1500,Master Sorcerer
"Aug 30 2020, 22:00 CEST","""dwarven legs""","""a firemind raiment""","""an earthmind raiment""","""a wand of destruction""",515,Sorrisoh,Epoca,Male,"Achievement ""A Study in Scarlett"" accomplished","Total Charm Points 2656, Unused Charm Points: 456",100 Magic Level (Loyalty bonus not included),Additional Slots: Prey,"1280666 Gold total in bank, inventory and depot","Aug 29 2020, 10:07 CEST",Not Sold,12000,Sorcerer
